Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
34877048,11/28/2016 04:10:17 PM,11/29/2016 01:04:26 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10035,,,,,LEXINGTON AVENUE,EAST  117 STREET,INTERSECTION,NEW YORK,,N/A,Closed,12/02/2016 04:10:17 PM,11/29/2016 01:04:26 PM,11 MANHATTAN,MANHATTAN,1000550,230489,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79930001748764,-73.94112713742498,"(40.79930001748764, -73.94112713742498)"
34877248,11/28/2016 04:05:17 PM,11/29/2016 11:04:18 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10029,,,,,EAST  112 STREET,LEXINGTON AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,01/04/2017 11:03:42 AM,11/29/2016 11:04:18 AM,11 MANHATTAN,MANHATTAN,999898,229313,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79607339677422,-73.94348479163442,"(40.79607339677422, -73.94348479163442)"
34878395,11/28/2016 04:09:31 PM,11/29/2016 01:04:25 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10029,,,,,EAST  116 STREET,LEXINGTON AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,12/02/2016 04:09:31 PM,11/29/2016 01:04:25 PM,11 MANHATTAN,MANHATTAN,1000414,230242,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79862231980249,-73.9416189410132,"(40.79862231980249, -73.9416189410132)"
34879444,11/28/2016 04:08:48 PM,11/29/2016 12:34:23 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10029,,,,,EAST  115 STREET,LEXINGTON AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,12/02/2016 04:08:48 PM,11/29/2016 12:34:23 PM,11 MANHATTAN,MANHATTAN,1000275,229995,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.797944625387515,-73.94212156986028,"(40.797944625387515, -73.94212156986028)"
34879456,11/28/2016 04:07:46 PM,11/29/2016 12:04:16 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10029,,,,,EAST  115 STREET,3 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,01/04/2017 12:03:30 PM,11/29/2016 12:04:16 PM,11 MANHATTAN,MANHATTAN,1000719,229746,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79726037191233,-73.94051856024116,"(40.79726037191233, -73.94051856024116)"
34880512,11/28/2016 04:11:02 PM,11/29/2016 01:04:27 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10029,,,,,3 AVENUE,EAST  116 STREET,INTERSECTION,NEW YORK,,N/A,Closed,12/02/2016 04:11:02 PM,11/29/2016 01:04:27 PM,11 MANHATTAN,MANHATTAN,1000856,229996,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79794629735093,-73.94002313633678,"(40.79794629735093, -73.94002313633678)"
34882272,11/28/2016 04:06:57 PM,11/29/2016 11:04:18 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10029,,,,,EAST  112 STREET,3 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,12/02/2016 04:06:57 PM,11/29/2016 11:04:18 AM,11 MANHATTAN,MANHATTAN,1000344,229070,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79540562678327,-73.94187457544515,"(40.79540562678327, -73.94187457544515)"
34888772,11/29/2016 03:41:13 PM,11/30/2016 01:03:38 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11212,41 NEW LOTS AVENUE,NEW LOTS AVENUE,MOTHER GASTON BOULEVARD,CHRISTOPHER AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/05/2017 01:03:35 PM,11/30/2016 01:03:38 PM,16 BROOKLYN,BROOKLYN,1011021,178729,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.65720604699014,-73.90351358806174,"(40.65720604699014, -73.90351358806174)"
34888943,11/29/2016 03:18:46 PM,11/30/2016 12:34:08 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11205,34 NOSTRAND AVENUE,NOSTRAND AVENUE,FLUSHING AVENUE,PARK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/05/2017 12:33:38 PM,11/30/2016 12:34:08 PM,03 BROOKLYN,BROOKLYN,997196,193970,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69907014285923,-73.95331152124318,"(40.69907014285923, -73.95331152124318)"
34898490,11/30/2016 04:38:25 PM,,DOHMH,Department of Health and Mental Hygiene,Tattooing,Minor Received Tattoo,Tattoo Parlor,11354,40-06 MAIN STREET,MAIN STREET,ROOSEVELT AVENUE,40 ROAD,,,ADDRESS,FLUSHING,,N/A,Pending,01/06/2017 04:38:25 PM,12/02/2016 10:51:11 AM,07 QUEENS,QUEENS,1031332,215978,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75936083227981,-73.83004959569593,"(40.75936083227981, -73.83004959569593)"
34899719,11/30/2016 03:14:02 PM,12/01/2016 11:33:57 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10001,288 8 AVENUE,8 AVENUE,WEST 24 STREET,WEST 25 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/06/2017 11:33:28 AM,12/01/2016 11:33:57 AM,04 MANHATTAN,MANHATTAN,984868,211160,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74626198178308,-73.99776966498058,"(40.74626198178308, -73.99776966498058)"
34904843,12/01/2016 11:05:58 AM,12/02/2016 12:04:11 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11374,98-51 63 ROAD,63 ROAD,98 PLACE,99 STREET,,,ADDRESS,REGO PARK,,N/A,Closed,01/07/2017 12:03:31 PM,12/02/2016 12:04:11 PM,06 QUEENS,QUEENS,1023678,206143,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73240370472914,-73.85773560012284,"(40.73240370472914, -73.85773560012284)"
34909373,12/01/2016 07:32:31 PM,12/05/2016 11:03:38 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11205,752 MYRTLE AVENUE,MYRTLE AVENUE,SANDFORD STREET,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/10/2017 11:03:35 AM,12/05/2016 11:03:38 AM,03 BROOKLYN,BROOKLYN,997361,192476,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69496921807791,-73.95271937320244,"(40.69496921807791, -73.95271937320244)"
34919003,12/03/2016 05:16:25 PM,12/05/2016 11:03:36 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11423,188-09 JAMAICA AVENUE,JAMAICA AVENUE,188 STREET,189 STREET,,,ADDRESS,HOLLIS,,N/A,Closed,01/10/2017 11:03:35 AM,12/05/2016 11:03:36 AM,12 QUEENS,QUEENS,1047863,198373,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71093613050903,-73.77054486613844,"(40.71093613050903, -73.77054486613844)"
34919524,12/03/2016 12:48:19 PM,12/05/2016 11:03:41 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11208,216 RIDGEWOOD AVENUE,RIDGEWOOD AVENUE,HIGHLAND PLACE,HALE AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/10/2017 11:03:36 AM,12/05/2016 11:03:41 AM,05 BROOKLYN,BROOKLYN,1017293,188272,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68337824047935,-73.88086167327577,"(40.68337824047935, -73.88086167327577)"
34921589,12/04/2016 10:45:33 AM,12/05/2016 11:03:39 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11235,2124 AVENUE X,AVENUE X,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,01/10/2017 11:03:36 AM,12/05/2016 11:03:39 AM,15 BROOKLYN,BROOKLYN,998465,155287,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.59289174401279,-73.94881651253654,"(40.59289174401279, -73.94881651253654)"
34922697,12/05/2016 12:00:56 AM,12/06/2016 10:34:16 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10028,1576 2 AVENUE,2 AVENUE,EAST 81 STREET,EAST 82 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/11/2017 10:33:31 AM,12/06/2016 10:34:16 AM,08 MANHATTAN,MANHATTAN,997057,221667,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.775091744448666,-73.9537600839611,"(40.775091744448666, -73.9537600839611)"
34939788,12/06/2016 05:17:25 PM,12/07/2016 04:34:33 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11214,7718 18 AVENUE,18 AVENUE,77 STREET,78 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,01/12/2017 04:33:26 PM,12/07/2016 04:34:33 PM,11 BROOKLYN,BROOKLYN,984989,162267,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.612061793120716,-73.99733834280971,"(40.612061793120716, -73.99733834280971)"
34966885,12/09/2016 11:15:02 AM,12/12/2016 11:03:57 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10017,851 SECOND AVENUE,SECOND AVENUE,EAST 45 STREET,EAST 46 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/17/2017 11:03:30 AM,12/12/2016 11:03:57 AM,06 MANHATTAN,MANHATTAN,992400,213276,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75206613423733,-73.97058444252146,"(40.75206613423733, -73.97058444252146)"
34973825,12/10/2016 04:48:56 PM,12/12/2016 11:03:55 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10128,,,,,EAST   90 STREET,2 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,01/17/2017 11:03:30 AM,12/12/2016 11:03:55 AM,08 MANHATTAN,MANHATTAN,998130,223615,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.780436870370714,-73.94988197391493,"(40.780436870370714, -73.94988197391493)"
34985470,12/11/2016 12:23:33 PM,12/12/2016 11:34:21 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11221,854 BUSHWICK AVENUE,BUSHWICK AVENUE,STANHOPE STREET,KOSSUTH PLACE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/17/2017 11:33:32 AM,12/12/2016 11:34:21 AM,04 BROOKLYN,BROOKLYN,1004625,192184,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.694154003346064,-73.92652497456761,"(40.694154003346064, -73.92652497456761)"
34993928,12/12/2016 04:10:44 PM,,DOHMH,Department of Health and Mental Hygiene,Tattooing,Minor Received Tattoo,Tattoo Parlor,10458,334 EAST FORDHAM ROAD,EAST FORDHAM ROAD,BAINBRIDGE AVENUE,MARION AVENUE,,,ADDRESS,BRONX,,N/A,Pending,01/18/2017 04:10:44 PM,12/14/2016 10:03:22 AM,05 BRONX,BRONX,1013741,253307,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8618946552878,-73.89338318814366,"(40.8618946552878, -73.89338318814366)"
35011358,12/14/2016 12:56:38 PM,12/15/2016 02:04:26 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10453,175 WEST BURNSIDE AVENUE,WEST BURNSIDE AVENUE,LORING PLACE,HENNESSY PLACE,,,ADDRESS,BRONX,,N/A,Closed,01/20/2017 02:03:24 PM,12/15/2016 02:04:26 PM,05 BRONX,BRONX,1007795,250430,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85401601727823,-73.914889449133,"(40.85401601727823, -73.914889449133)"
35012585,12/14/2016 09:03:46 AM,12/15/2016 10:33:51 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10473,444 SOUTHVIEW AVE,SOUTHVIEW AVE,,,,,,BRONX,,N/A,Closed,01/20/2017 10:33:26 AM,12/15/2016 10:33:51 AM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
35012586,12/14/2016 11:05:36 PM,12/30/2016 01:06:44 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11224,2904 STILLWELL AVENUE,STILLWELL AVENUE,MERMAID AVENUE,SURF AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,12/31/2016 11:03:24 AM,12/30/2016 01:06:44 AM,13 BROOKLYN,BROOKLYN,989385,149394,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.576726541512414,-73.98151504855885,"(40.576726541512414, -73.98151504855885)"
35025223,12/15/2016 10:51:53 PM,12/20/2016 02:03:59 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Prohibited Item Sale to Minor,,10453,1843 GRAND CONCOURSE,GRAND CONCOURSE,EAST 176 STREET,MT HOPE PLACE,,,ADDRESS,BRONX,,N/A,Closed,12/19/2016 10:51:53 PM,12/20/2016 02:03:59 PM,05 BRONX,BRONX,1009896,248259,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84805141612977,-73.90730305681124,"(40.84805141612977, -73.90730305681124)"
35028906,12/16/2016 04:24:03 PM,12/19/2016 11:34:08 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10454,2628 3 AVENUE,3 AVENUE,EAST 141 STREET,EAST 142 STREET,,,ADDRESS,BRONX,,N/A,Closed,01/24/2017 11:33:32 AM,12/19/2016 11:34:08 AM,01 BRONX,BRONX,1005118,235269,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81241018784933,-73.92461343787882,"(40.81241018784933, -73.92461343787882)"
35033620,12/17/2016 01:01:51 PM,12/19/2016 01:34:35 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11377,68-30 ROOSEVELT AVENUE,ROOSEVELT AVENUE,68 STREET,69 STREET,,,ADDRESS,WOODSIDE,,N/A,Closed,01/24/2017 01:33:30 PM,12/19/2016 01:34:36 PM,02 QUEENS,QUEENS,1012819,211178,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74626526072575,-73.89689569739215,"(40.74626526072575, -73.89689569739215)"
35041119,12/17/2016 07:31:21 PM,12/19/2016 11:34:12 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11209,8527 3 AVENUE,3 AVENUE,85 STREET,86 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,01/24/2017 11:33:33 AM,12/19/2016 11:34:12 AM,10 BROOKLYN,BROOKLYN,975696,166630,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62403322345722,-74.0308144787078,"(40.62403322345722, -74.0308144787078)"
35055862,12/19/2016 03:12:12 PM,12/20/2016 12:34:05 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11226,1218 FLATBUSH AVENUE,FLATBUSH AVENUE,AVENUE D,NEWKIRK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/25/2017 12:33:28 PM,12/20/2016 12:34:05 PM,14 BROOKLYN,BROOKLYN,996596,172582,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.640365728291414,-73.95551453365569,"(40.640365728291414, -73.95551453365569)"
35059248,12/19/2016 11:15:42 AM,12/20/2016 11:04:26 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11223,2301 STILLWELL AVENUE,STILLWELL AVENUE,AVENUE W,28 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/25/2017 11:03:26 AM,12/20/2016 11:04:26 AM,13 BROOKLYN,BROOKLYN,988645,154623,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.59107950651856,-73.98417549694065,"(40.59107950651856, -73.98417549694065)"
35071279,12/20/2016 02:49:15 PM,12/21/2016 10:04:39 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Prohibited Item Sale to Minor,,11234,5901 GLENWOOD ROAD,GLENWOOD ROAD,EAST 59 STREET,RALPH AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/26/2017 10:03:40 AM,12/21/2016 10:04:39 AM,18 BROOKLYN,BROOKLYN,1006536,170249,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63394271016507,-73.91970615754734,"(40.63394271016507, -73.91970615754734)"
